SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,SITE_ZIP_ADDON,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_DIRECTION,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,# OF BOAT SLIPS,# OF CAR PARKING SPACES,# OF CB USING SITE,# OF HB USING SITE,# OF RAMPS,# OF TRAILER PARKING SPACES,BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SEFHIER SITE,SHORE AREA,SHORE MODE,TACKLE SHOPS
1,,FAIRHOPE PUBLIC PIER,4 NORTH BEACH ROAD,FAIRHOPE,36532,2527,3,BALDWIN,1,AL,30.524,-87.91285,ON MOBILE BAY IN FAIRHOPE WEST END OF FAIRHOPE AVENUE,,,Active,,0,87,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
2,,GULF OUTLET MARINA,316 MARINA RD.,CHALMETTE,70043,8317,87,ST. BERNARD,22,LA,29.97253,-89.94505,MARINA DR OFF PARIS RD.,JOE MEDINA,5042779980,Active,,28,50,0,0,2,100,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NA,N/A,YES
5,,COTTON BAYOU BOAT RAMPS,25808 PERDIDO BEACH BLVD,ORANGE BEACH,36561,6145,3,BALDWIN,1,AL,30.2718,-87.58307,HWY 182 JUST EAST OF HWY 161,,,Active,,0,8,0,0,4,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NA,N/A,NO
6,,VENICE MARINA,,VENICE,,,75,PLAQUEMINES,22,LA,29.23982,-89.36445,OFF TIDEWATER RD AT END OF HWY 23 (FOLLOW SIGNS),BILL OR MIKE BUTLER,5045349357,Active,,60,33,35,0,3,33,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NA,N/A,YES
8,,ED'S BOAT LAUNCH,,LEEVILLE,,,57,LAFOURCHE,22,LA,29.25433,-90.21185,"OFF HWY 1, BAYOU SIDE ACROSS FROM BOUDREAUX'S",ED OR MRS HERMAN,5043962253,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
10,,GULF STATE PARK PIER,HWY 182,GULF SHORES,36542,,3,BALDWIN,1,AL,30.24938,-87.66857,HWY 182 1 MILE E OF HWY 59,TERESA CARLISLE,2519673474,Retired,Y,0,224,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,OCEAN,MAN-MADE,YES
12,,ALABAMA POINT,,ORANGE BEACH,,,3,BALDWIN,1,AL,30.27733,-87.55532,WEST SIDE OF PERDIDO PASS BRIDGE ON AL182 (BEACH ROAD),,,Active,,0,36,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,BOTH,MAN-MADE,NO
19,,FISH RIVER MARINA (BIG BOB'S/BAYWATCH),11470 US HWY 98,FAIRHOPE,36532,,3,BALDWIN,1,AL,30.41598,-87.82568,HWY 98 AT FISH RIVER JUST E OF HWY 27 AT BRIDGE (BAY WATCH),OFFICE,,Active,,0,6,0,0,2,25,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
21,,INTRACSTL CITY PUB LNCH ON HWY 333,,INTERCOASTAL CITY,,,113,VERMILION,22,LA,29.78527,-92.15361,BEHIND MAXIE PIERCE RESTAURANT RESTAURANT CLOSED,,,Active,,0,80,0,0,4,80,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,NA,N/A,YES
23,,ROLL OVER LANDING,,PECAN ISLAND,,,113,VERMILION,22,LA,29.65815,-92.5201,ROCKEFELLER REFUGE; WEST END OF PECAN ISLAND,AUTRY OR NELLIE,3187372255,Active,,0,15,0,0,1,15,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
24,,BEACH BTW'N HOLLY BEACH\CONSTANCE BCH,,HOLLY BEACH,,,23,CAMERON,22,LA,29.7665,-93.5147,"HWY 82, 9 MILES WEST OF CAMERON",,,Active,,0,30,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,OCEAN,BEACH/BANK,NO
25,,"SABINE LAKE, BETWEEN TEXAS & LA LINE",,JOHNSONS BAYOU,,,23,CAMERON,22,LA,29.7678,-93.8919,"OFF HWY 82, E. SIDE OF BRG JOHNSON",,,Active,,0,8,4,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
27,,COTTON BAYOU BEACH ACCESS,,GULF SHORES,36542,,3,BALDWIN,1,AL,30.25507,-87.6423,".2 MILES WEST OF HWY 161, ON HWY 182 ACROSS FROM COTTON BAYOU LAUNCH",,,Active,,0,30,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OCEAN,BEACH/BANK,NO
28,,LITTLE BILLYGOAT HOLE RAMP & PIER,98 BIENVILLE BLVD,DAUPHIN ISLAND,36528,,97,MOBILE,1,AL,30.25008,-88.0765,EAST END OF ISLAND ACROSS FROM FT. GAINES/DISL,,,Active,,0,30,0,0,4,30,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
30,,PRIEN LAKE PARK,3700 West Prien Lake Road,LAKE CHARLES,70605,1030,19,CALCASIEU,22,LA,30.18833,-93.27167,NEAR LAKE CHARLES; 1/4 MILE S. OF I-210 BCH LAUNCH,Parish Facilities,3377213700,Active,,0,15,0,0,2,12,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
33,,CAMPO'S MARINA,1301 YCLOSKEY HWY,SHELL BEACH,70085,7759,87,ST. BERNARD,22,LA,29.85378,-89.67903,"TURN LEFT AFTER YCLOSKEY BRIDGE, GO TO END OF LA 46",FRANK CAMPO,5042529321,Active,,0,180,6,0,2,90,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NA,N/A,YES
33,,OCEAN SPRINGS HARBOR,1310 Harbor Road,OCEAN SPRINGS,39564,4906,59,JACKSON,28,MS,30.40315,-88.8242,EAST END OF FRONT BEACH DRIVE,,,Active,,164,80,0,0,3,42,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NA,N/A,YES
35,,Biloxi Fishing Bridge,Howard Ave,Biloxi,,,47,HARRISON,28,MS,30.39633,-88.8594,Maple Street off of HWY 90; turn right at intersection with Howard Ave at Palace Casino,,,Active,,0,0,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
36,,BILLYGOAT HOLE - D.I. PUBLIC RAMPS,103 BIENVILLE BLVD,DAUPHIN ISLAND,36528,4603,97,MOBILE,1,AL,30.25149,-88.08172,BAY SIDE AT FERRY SLIP E. END OF DAUPHIN,,,Active,,0,12,0,0,8,40,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NA,N/A,NO
37,,FOWL RIVER MARINA,11799 DAUPHIN ISLAND PKWY,THEODORE,36582,7625,97,MOBILE,1,AL,30.44502,-88.11395,HWY 193 AT FOWL RIVER,LESLIE HOGAN,2519732696,Active,,37,50,0,0,3,30,NO,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NA,N/A,YES
40,,DE POPES LAUNCH,,VIOLET,,,87,ST. BERNARD,22,LA,29.8987,-89.90052,ST BERNARD HWY & VIOLET CANAL,LIONEL & DESI,5046827744,Retired,,0,30,0,0,0,15,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NA,N/A,NO
40,,DAUPHIN ISLAND MARINA,650 LEMOYNE DR,DAUPHIN ISLAND,36528,4456,97,MOBILE,1,AL,30.26323,-88.11395,HWY 193 AT SE END OF DAUPHIN ISLAND BRIDGE CNSLT CHRTR CPT. BEFORE INT,THOMAS TAUL,2518612201,Active,,17,60,21,1,0,0,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,NA,N/A,YES
43,,JOSEPH'S HARBOR,5476 Grand Chenier Hwy,GRAND CHENIER,70643,3130,23,CAMERON,22,LA,29.717,-92.7653,"OFF HWY 82, IN WEST ROCKEFELLER REFUGE",,3374912593,Active,,0,8,0,0,2,20,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
44,,ROCKEFELLER REFUGE LAUNCH,,GRAND CHENIER,,,23,CAMERON,22,LA,29.71185,-92.76575,"(EAST ENTRANCE) EAST HWY 82, W OF PECAN ISLAND",OFFICE SUPERVISOR,3185382165,Active,,0,8,0,0,1,2,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
46,,GRAND CHENIER PARK,,GRAND CHENIER,,,23,CAMERON,22,LA,29.77,-92.99167,1 3/4 MILE E. OF MERMENTAU RIVER BRIDGE ON HWY 82,,,Active,,0,4,0,0,2,12,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
47,,PASS HARBOR WEST,200 W Scenic Dr,PASS CHRISTIAN,39571,4325,47,HARRISON,28,MS,30.3128,-89.24943,ON HWY 90 BETWEEN LONG BEACH & BAY ST. LOUIS BRIDGE,HARBOR MASTER,2284523226,Active,,316,220,0,0,4,42,NO,NO,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,NO,NO,NA,N/A,NO
48,,GULFPORT SMALL CRAFT HARBOR,Hwy 90,GULFPORT,39501,,47,HARRISON,28,MS,30.36525,-89.08892,HWY 90 NEAR INTERSECTION WITH HWY 49 SOUTH OF JONES PARK,HARBOR MASTER,2288650095,Active,,319,400,0,0,8,60,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NA,N/A,YES
49,,RUTHERFORD BEACH PARK,,OAK GROVE,,,23,CAMERON,22,LA,29.77833,-93.21667,"HWY 82 TURN AT SIGN, WEST OF OAK GROVE",,,Active,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OCEAN,BEACH/BANK,NO
49,,BILOXI SMALL CRAFT HARBOR,679 Beach Blvd,BILOXI,39530,4302,47,HARRISON,28,MS,30.39223,-88.8837,BEACH BLVD 1/2 MI E. OF I-110 LOOP,HARBOR MASTER,2284364062,Active,,141,120,0,0,2,45,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NA,N/A,YES
50,,CAMERON JETTIES & RAMP,,CAMERON,,,23,CAMERON,22,LA,29.76167,-93.345,GO TO END OF CAMERON JETTY ROAD GO SOUTH OFF HWY 82 AT CAM-MART,POLICE JURY,3187755718,Active,,0,15,0,0,1,6,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,BOTH,NO
51,,LONG BEACH HARBOR,U.S. 90,LONG BEACH,39560,,47,HARRISON,28,MS,30.34532,-89.1421,"BEACH BLVD, HWY 90, 4 MI WEST OF GULFPORT HARBOR",HARBOR MASTER,2288634795,Active,,230,163,0,0,6,32,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NA,N/A,YES
53,,HWY 27 ROADSIDE (HOG ISLAND GULLY),,HACKBERRY,,,23,CAMERON,22,LA,29.90942,-93.38328,"HWY 27, S HACKBERRY",,,Active,,0,7,0,0,2,4,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
55,,LA FRANCE'S FISHING CAMP,3200 Lafrances Dr,ANSLEY,39520,,45,HANCOCK,28,MS,30.19667,-89.445,"TURN S OFF 90 AT PEARLS GIFTS, RT ON LOWER BAY RD THEN FOLLOW SIGNS",OFFICE,2284679180,Retired,,0,20,0,0,2,20,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NA,N/A,NO
56,,ORANGE BEACH MARINA,27075 MARINA RD,ORANGE BEACH,36561,3557,3,BALDWIN,1,AL,30.28365,-87.5629,N SIDE OF MARINA RD 1 MI E OF HWY 161,,2519814207,Active,,160,260,12,0,0,0,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,NA,N/A,YES
58,,HWY 90 BOAT LAUNCH-PASCAGOULA,River Edge Road,PASCAGOULA,39567,,59,JACKSON,28,MS,30.375,-88.56667,1/2 MI W OF PASCAGOULA RVR BTWN W&E RIVER BRIDGES,,,Retired,,0,10,0,0,3,24,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,NO
59,,Point Park,Beach Blvd,PASCAGOULA,39567,,59,JACKSON,28,MS,30.34543,-88.5615,"HWY 90 TO MARKET ST. S. TO BEACH BLVD, W. TO END",,,Active,,0,75,0,0,8,50,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,INLAND,MAN-MADE,NO
62,,INTERCOASTAL WATERWAY PARK,Intercoastal Waterway Park Road,Sulphur,,,19,CALCASIEU,22,LA,30.05,-93.36667,"BELOW ELLENDER BRIDGE ON ICW HWY 27, S OF SULPHUR",AMELIA MILLER,3187623182,Active,,0,4,0,0,2,12,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
64,,BRETON SOUND MARINA,7600 HWY 624,HOPEDALE,70085,7730,87,ST. BERNARD,22,LA,29.81872,-89.61175,END OF SHELL RD. LA HWY 624,GLEN SANCHEZ,5046761252,Active,,0,300,6,0,2,150,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,YES,NO,NA,N/A,YES
64,,BAYOU CADDY LAUNCHING RAMP,5124 Pleasure St.,WAVELAND BEACH,39520,,45,HANCOCK,28,MS,30.23987,-89.43237,WEST END OF SOUTH BEACH BLVD,,,Active,,75,20,0,0,1,70,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
67,,CO CO MARINA,106 Pier 56,COCODRIE,70344,2000,109,TERREBONNE,22,LA,29.25065,-90.66212,OFF HWY 56 NEXT TO LUMCON SITE NO NAMES OR ADD OF CHARTER PATRO,Mike Glover,9855946626,Active,,39,10,6,0,2,46,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NA,N/A,YES
68,,SPORTSMAN'S MARINA,27844 CANAL RD,ORANGE BEACH,36561,4009,3,BALDWIN,1,AL,30.29257,-87.5501,S SIDE OF HWY 180 3 MI E OF HWY 161,,2519816247,Active,,50,100,10,1,0,0,YES,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,NA,N/A,NO
69,,COUSIN'S BOAT LAUNCH,,SLIDELL,,,103,ST. TAMMANY,22,LA,30.21807,-89.82357,NORTH SHORE SIDE HWY 11 BRIDGE; NEXT TO TITE'S,MR COUSIN,5046433819,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
70,,RIGOLETS BAIT & SEAFOOD,52250 HWY 90 E,SLIDELL,70461,1220,103,ST. TAMMANY,22,LA,30.17678,-89.72695,R AT LA 433 AND HWY 90 JCT. ON LEFT BEFORE RIGOLETS BRIDGE,LESTER RALPH/ STAN BOYD,9856418088,Active,,75,20,8,0,2,50,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,NO,YES,NO,NO,YES,NO,NA,N/A,YES
73,,MYRTLE GROVE MARINA,,MYRTLE GROVE,,,75,PLAQUEMINES,22,LA,29.6319,-89.95157,"HWY 23 TO BP REFINERY 1 1/2 MI, TAKE RIGHT AT SIGN",LEONA SQUARISH,5046569980,Active,,4,18,3,0,2,18,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,NO,YES,NO,INLAND,BOTH,YES
73,,BOGGY POINT PUBLIC BOAT RAMPS,28212 MARINA ROAD,ORANGE BEACH,36561,,3,BALDWIN,1,AL,30.28412,-87.53737,"FROM BEACH ROAD (AL182), TURN NORTH ON AL 161, THEN TURN EAST ON MARINA RD.  LAUNCH IS AT THE END OF THE ROAD.",,,Active,,0,4,0,0,2,39,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,NA,N/A,NO
73,,RIVER PARK FISHING PIER & BOAT RAMP,Clark Street,PASCAGOULA,39567,,59,JACKSON,28,MS,30.37492,-88.56483,JUST N OF HWY 90 BRDG AT EAST PASCAGOULA RIVER,,,Active,,0,50,0,0,2,20,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
74,,"PT LA HACHE MARINA, BESHEL BT LNCH",,POINT A LA HACHE,70082,,75,PLAQUEMINES,22,LA,29.56875,-89.76458,"HWY 39, OVER LEVEE EASTSIDE OF TOWN",DON BESHEL,5043334469,Active,,70,40,0,0,2,40,NO,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,YES
75,,Old Hwy 90 Fishing Bridge,Hwy 90 Service Road,Ocean Springs,39564,,59,JACKSON,28,MS,30.40678,-88.83852,Hwy 90 West to the Hwy 90 Service road. turn Right. Go to the End.,,,Active,,0,32,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
75,,WEEKS BAY PUBLIC BOAT RAMP,10471 COUNTY ROAD 1,FAIRHOPE,36532,5933,3,BALDWIN,1,AL,30.37653,-87.83727,"SOUTH OFF HWY 98 AT CO. RD. 27, E ON CO RD. 1 TO END",,,Active,,0,12,0,0,2,40,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
76,,WASHINGTON ST BEACH PARK,South Beach Blvd,BAY ST LOUIS,39520,,45,HANCOCK,28,MS,30.3022,-89.32747,SOUTH BEACH BLVD AND WASHINGTON ST PIER DAMAGEDJETTIESOKRAMPSdamage,,,Active,,0,69,0,0,2,20,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
79,,T-IRV'S MARINA,9499 Grand Caillou Rd,DULAC,70353,2121,109,TERREBONNE,22,LA,29.3414,-90.72995,"BAYOU GRAND CALLIOU, SOUTH OF DULAC STAY RT ON SHELL DR. TO MARINA",IRVIN Carlos & PAM,9855634295,Active,,0,6,0,0,2,100,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,NO
82,,"5 MILE WATERFRONT, S BEACH BLVD",,BAY ST LOUIS,39520,,45,HANCOCK,28,MS,30.28108,-89.36997,Starting (but not including) Garfield Ladner Pier to the Silver Slipper Casino waterfront.,,,Active,,0,0,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,INLAND,BEACH/BANK,NO
83,,QUINTANA PUBLIC LAUNCH,,CYPREMORT POINT,,,101,ST. MARY,22,LA,29.7233,-91.8632,"HWY 319,NEXT TO STATE PARK",,,Active,,0,65,0,0,4,65,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,NO,NA,N/A,YES
85,,OCEAN SPRINGS COMMUNITY PIER,Front Beach Drive,OCEAN SPRINGS,39564,,59,JACKSON,28,MS,30.40498,-88.82952,FRONT BEACH AND MARTIN AVE,,,Active,,0,12,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
87,,POPPS FERRY,Popps Ferry Causeway,BILOXI,39532,,47,HARRISON,28,MS,30.41667,-88.975,"BEAUVOIR AVE OFF HWY 90, LFT ON PASS RD., RT ON POPPS FERRY, LFT AFTER BRIDGE",,,Active,,0,30,0,0,4,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
88,,KUHN ST BOAT RAMP & PIER,,BILOXI,39530,,47,HARRISON,28,MS,30.3923,-88.87243,HWY 90 (1/2 MI EAST OF BILOXI SMALL CRAFT HARBOR),,,Active,,0,3,0,0,2,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NA,N/A,NO
89,,LAKE MARS PIER,Lake Mars Road,FOUNTAINBLEAU,39564,,59,JACKSON,28,MS,30.35633,-88.75867,SOUTH OFF HWY 90 ON HANSHAW RD-RT THEN LFT ON BEACHVIEW DRIVE TO LK MARS RD.,,,Active,,0,15,0,0,2,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
90,,GULF ISLANDS NATIONAL SEASHORE (Ramp),673 Boat Launch Road,OCEAN SPRINGS,39564,,59,JACKSON,28,MS,30.39,-88.78933,Boat Ramp is located within GINS and opposite of the Visitor's Center,PARK RANGER,,Active,,0,40,0,0,1,12,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
91,,ACADIANA MARINA,,PECAN ISLAND,,,113,VERMILION,22,LA,29.81158,-92.13165,"OFF HWY 82, 1 MILE BEFORE HWY 3147",SEMMES LYNCH,3187372402,Active,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
91,,F0RT BAYOU PUBLIC FISHING PIER & RAMP,Washington Avenue,OCEAN SPRINGS,39564,,59,JACKSON,28,MS,30.42033,-88.82783,HWY 90 TO WASHINGTON ST.-1ST RT AFTER FORT BAYOU BRIDGE-,,,Active,,0,20,0,0,2,20,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,INLAND,BOTH,YES
91,,GULF SHORES MARINA (FT MORGAN MARINA),1577 HWY 180 WEST,GULF SHORES,36542,7008,3,BALDWIN,1,AL,30.23297,-87.99375,"WEST ON FT MORGAN ROAD, ALMOST TO THE FERRY DOCK",,2515402628,Active,,60,80,8,1,0,0,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NA,N/A,YES
92,,KREMER MARINE,1408 Cowan Lorraine Road,GULFPORT,39501,,47,HARRISON,28,MS,30.4054,-89.02727,"COWAN RD OFF HWY 90 GO TO 1ST BRDG, RAMP ON RIGHT",,,Retired,Y,0,20,0,0,2,20,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
95,,D'IBERVILLE RAMP,Bayshore Drive,D'IBERVILLE,39540,,47,HARRISON,28,MS,30.42467,-88.8947,BILOXI BAY NORTH SHORE UNDER I-110 BRIDGE,,,Active,,31,30,0,0,6,40,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,INLAND,MAN-MADE,NO
96,,LITTLE JOE'S FISH CAMP,12056 Cedar Lake Road,BILOXI,39532,,47,HARRISON,28,MS,30.42833,-88.98,POPPS FERRY RD LF ON CEDAR LK RD PAST I-10 TO BR WINTER SITE,,,Retired,,6,15,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
103,,POINT CADET MARINA,591 Howard Ave,BILOXI,39530,4447,47,HARRISON,28,MS,30.38967,-88.85948,HWY 90 & MYRTLE NEXT TO GULF MARINE PARK,HARBOR MASTER,2284369312,Active,,300,92,14,0,0,95,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NA,N/A,YES
105,,PEARLINGTON PUBLIC BOAT RAMP,Monroe St.,PEARLINGTON,39572,,45,HANCOCK,28,MS,30.24797,-89.6156,END OF MONROE ST OFF 604,,,Active,,0,5,0,0,2,5,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
107,,URIE PIER,Hwy 90,GULFPORT,39501,,47,HARRISON,28,MS,30.35918,-89.08645,S. SIDE OF GULFPORT SMALL CRAFT HARBOR (BEHIND HRBR MAST. OFF.),HARBOR MASTER,2288685713,Active,,0,95,0,0,0,0,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,INLAND,MAN-MADE,YES
