SITE_EXTERNAL_ID,SITE_NEW_FLAG,SITE_NAME,SITE_ADDRESS,SITE_CITY,SITE_ZIP,SITE_ZIP_ADDON,COUNTY_CODE,COUNTY,STATE_CODE,STATE,SITE_LAT,SITE_LONG,SITE_DIRECTION,SITE_CONTACT_NAME,SITE_CONTACT_PHONE,STATUS,SITE_TEMP_RETIRE_FLAG,# OF BOAT SLIPS,# OF CAR PARKING SPACES,# OF CB USING SITE,# OF HB USING SITE,# OF RAMPS,# OF TRAILER PARKING SPACES,BOAT MAINTENANCE/REPAIR,BOAT STORAGE,CAN WE INTERVIEW,FISH CLEANING STATIONS,FISHING ACTIVITY AFFECTED BY TIDE,FUEL DOCK,HEADBOAT ONLY,IS FEE CHARGED TO THE PUBLIC FOR USE OF SITE,IS SITE SAFE FOR 2 SAMPLERS AT NIGHT,LIGHTING AT NIGHT,LODGING (ONSITE/IMMEDIATE VICINITY),MAJOR TOURNAMENTS,PRIVATE ACCESS,RESTAURANT (ONSITE/IMMEDIATE VICINITY),RETAIL BAIT,SEFHIER SITE,SHORE AREA,SHORE MODE,TACKLE SHOPS
108,,MOSES PIER,Hwy 90,GULFPORT,39501,,47,HARRISON,28,MS,30.3629,-89.08572,E. SIDE OF GULFPORT SMALL CRAFT HARBOR (BEHIND HRBR MAST. OFF.),HARBOR MASTER,2288685713,Active,,0,40,0,0,0,0,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,INLAND,MAN-MADE,YES
109,,FOUR POINT LANDING,1171 Four Point Rd.,DULAC,70353,2139,109,TERREBONNE,22,LA,29.30795,-90.71537,"ON 4-PT RD BELOW HWY 57, 8-12 MI S OF DULAC",LAURIE SPELL,9855632878,Active,,13,6,0,0,2,75,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NA,N/A,YES
112,,BAYOU CASSOTTE RAMP,Ladner Avenue,PASCAGOULA,39567,,59,JACKSON,28,MS,30.35245,-88.50872,"HY90 TO CHICOT, S TO INGALLS,E.TO LOUISE, S TO LADNER",,,Active,,0,18,0,0,2,15,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,INLAND,MAN-MADE,YES
113,,ISLAND VIEW CASINO CATWALK,Hwy 90,GULFPORT,39501,,47,HARRISON,28,MS,30.36173,-89.10118,WEST SIDE OF ISLAND VIEW CASINO AT HWY 90 & 28TH AVE.,,,Retired,,0,50,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
114,,CEDAR POINT FISHING PIER,18250 DAUPHIN ISLAND PARKWAY,CODEN,36523,3868,97,MOBILE,1,AL,30.31035,-88.13825,W SIDE OF HWY 193 AT N END OF DAUPHIN ISLE BRIDGE,OFFICE,2518734476,Active,,0,35,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,INLAND,MAN-MADE,YES
115,,FT MORGAN PUBLIC BOAT RAMP,53 DIXIE GRAVES PKWY,GULF SHORES,36542,8000,3,BALDWIN,1,AL,30.23143,-88.01767,W END OF HWY 180 AT FT MORGAN,,2515407127,Active,,0,50,0,0,4,50,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
116,,ZEKE'S LANDING,26619 PERDIDO BEACH BLVD,ORANGE BEACH,36561,3187,3,BALDWIN,1,AL,30.27527,-87.56938,HWY 182 / 1 MI W OF PERDIDO PASS,ANGELA,2519814007,Active,,55,250,42,1,0,0,NO,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,NA,N/A,NO
119,,MEAHER STATE PARK,5200 BATTLESHIP PKWY,SPANISH FORT,36527,9334,3,BALDWIN,1,AL,30.66607,-87.92645,ON CAUSEWAY MILE MARKER #43 BOAT RAMP OUTSIDE FENCE (E. SIDE),,2516265529,Active,,0,20,0,0,2,20,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
120,,WEST SIDE PIER,Hwy 90,GULFPORT,,,47,HARRISON,28,MS,30.35963,-89.10862,"W. BEACH BLVD, IN FRONT OF COMMUNITY HOUSE",,,Retired,,0,24,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
121,,HAPPY JACK'S MARINA,,PORT SULPHUR,,,75,PLAQUEMINES,22,LA,29.51777,-89.73672,"HWY 23, RIGHT AT SIGN, OVER LEVEE",FRANCIS & JIM,5045643014,Active,,12,10,0,0,1,10,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
122,,HI RIDGE MARINA,,PORT SULPHUR,,,75,PLAQUEMINES,22,LA,29.49095,-89.7138,"HWY 23, RT AT SIGN, BRIDGE, 2 MI S. OF HAPPY JACK'S (CLOSED MONDAY, EXCEPT HOLIDAYS)",MIKE & MARGOT,5045642232,Retired,,0,10,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,NO
125,,HOPPES FISHING CAMP,4724 DAUPHIN ISLAND PARKWAY,MOBILE,36605,,97,MOBILE,1,AL,30.57387,-88.08587,NW SIDE OF DOG RIVER BRIDGE,PATTY HOPPE,2514798302,Retired,,0,20,0,0,1,20,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
126,,JOSHUA MARINA,,BURAS,,,75,PLAQUEMINES,22,LA,29.34948,-89.5388,"OFF HWY 23, TAKE RIGHT OVER LEVEE AT SIGN NEXT TO BURAS BOAT HARBOR",BOB OR MARK,5046577632,Active,,0,12,20,0,1,12,NO,NO,YES,NO,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NA,N/A,YES
126,,MCNALLY PARK (SHORE),4380 PARK ROAD,MOBILE,36605,9469,97,MOBILE,1,AL,30.58162,-88.06947,DI PKWY TO TERRELL RD TO PARK RD SOUTH 1 BLK.,,,Active,,0,125,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
127,,SEAWAY MARINA,,LAFITTE,,,51,JEFFERSON,22,LA,29.65625,-90.10882,END OF HWY 45--FOLLOW SIGNS; 5057 KENAL ROAD,KIM,5046893148,Active,,28,15,4,0,2,15,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,NA,N/A,YES
130,,BELLE PASS MARINA,,LAFOURCHE,,,57,LAFOURCHE,22,LA,29.11333,-90.19665,1/2 MI N. OF SITE 0230 AND A.J. ESTAY RD. & 3090 HWY,C MORAN/ DEBBIE H,5043962442,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
133,,JOSH'S LAUNCH,,GOLDEN MEADOW,70373,,57,LAFOURCHE,22,LA,29.38372,-90.27032,"OFF HWY 3235 1/2 MI PAST PARK, OVER LEVEE BEHIND Scales and Tailsbait SHOP",Josh Leonard,9856375597,Retired,,0,6,0,0,2,38,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
135,,BIG BAYOU BLUE MARINA,1352 Hwy 24,LAROSE,70373,3731,57,LAFOURCHE,22,LA,29.54413,-90.40072,"LA-24, LAROSE-BOURG HWY 2 MI W. OF BRIDGE X-ING ICWW",Jerry Sanders,9856937491,Active,,0,100,0,0,1,50,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
140,,LEBLANC'S MARINA,,GRAND ISLE,,,51,JEFFERSON,22,LA,29.21497,-90.02833,"OFF LA 1, TAKE LFT. AT SIGN",RENE LEBLANC,9857872307,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
140,,TENSAW PUBLIC BOAT RAMP,1401 BATTLESHIP PKWY,SPANISH FORT,36527,9325,3,BALDWIN,1,AL,30.68182,-88.00492,EAST OF TENSAW RIVER BRIDGE ON NORTH SIDE OF BATTLESHIP PARKWAY,,,Active,,0,35,0,0,2,35,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
141,,BRIDGE SIDE MARINA,,GRAND ISLE,,,51,JEFFERSON,22,LA,29.20332,-90.04,"OFF LA 1, TAKE RIGHT AFTER CROSSING CAMINADA BRIDGE",RENE OR DOTI,5047872419,Active,,62,100,12,0,1,100,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,INLAND,BOTH,YES
142,,MULLET POINT PARK,13203 COUNTY ROAD 1,FAIRHOPE,36532,5955,3,BALDWIN,1,AL,30.41615,-87.90868,"SOUTH OFF HWY 98 ON HWY 27, EAST ON CNTY RD 1, RAMP ON RIGHT",,,Active,,0,25,0,0,1,25,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
147,,FALGOUT CANAL LANDING,1868 Doctor Beatrous Rd.,THERIOT,70397,9644,109,TERREBONNE,22,LA,29.41348,-90.7836,"OFF HWY 315, ON FALGOUT CANAL ACROSS BAYOU BRIDGE",JERAMIE BALL,9858721636,Active,,0,12,0,0,1,125,NO,YES,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NA,N/A,YES
150,,ABANDONED HWY 1 BRIDGE (WEST),,GRAND ISLE,,,51,JEFFERSON,22,LA,29.21,-90.05,WEST SIDE OF CAMINADA PASS CROSSING TO GRAND ISLE SIDE NEAR CIGAR MARINA,,,Active,,0,9,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
151,,ABANDONED HWY 1 BRIDGE (EAST),,GRAND ISLE,,,51,JEFFERSON,22,LA,29.205,-90.04,EAST SIDE OF CAMINADA PASS CROSSING TO GRAND ISLE SIDE NEAR BRIDGE SIDE MARINA,,,Active,,0,100,0,0,0,0,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
152,,SPORTSMAN'S PARADISE,6830 Hwy 56,CHAUVIN,70344,2611,109,TERREBONNE,22,LA,29.33717,-90.63855,BETWEEN CHAVIN & COCODRIE ON LA HWY 56,CONNIE TOWNSEND,9855942414,Active,,9,6,5,0,1,6,NO,YES,YES,YES,NO,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,NO,NA,N/A,NO
155,,WESTEND BOAT LAUNCH,,NEW ORLEANS,70124,,71,ORLEANS,22,LA,30.02833,-90.12022,TURN NORTH OFF OF ROBERT E. LEE BLVD. WHERE WEST END BECOMES LAKESHORE DR. TURN LEFT ON LAKE MARINA DR. FOLLOW ROAD AROUND TO LAKE PONCHARTRAIN,,,Active,,0,30,0,0,4,30,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
158,,KOZY KAMPERS,6400 Hwy 56,COCODRIE,70344,2603,109,TERREBONNE,22,LA,29.33255,-90.64348,10 MI N OF COCODRIE ON HWY 56 & ROBINSON CANAL ACROSS FROM LAPEYROUSSE SFD&BAR,TERRY Lapeyrouse,9855942600,Active,,0,6,0,0,1,35,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,INLAND,MAN-MADE,YES
159,,ELMER'S ISLAND CAMPING AND FISHING,,GRAND ISLE,,,51,JEFFERSON,22,LA,29.19498,-90.075,"TAKE RIGHT AT SIGN, OFF HWY 1",JAY ELMER OR DARLENE,5047873819,Active,,0,0,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,BOTH,BEACH/BANK,NO
173,,LAKE HERMITAGE LAUNCH,,LAKE HERMITAGE,,,75,PLAQUEMINES,22,LA,29.5586,-89.88438,"2 MI PAST MYRTLE GROVE, RT ON LK JUDGE PEREZ RD 5 MI OFF SHELL RD",KENNY MORRISON,9856562020,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
178,,MONKEY ISLAND,,CAMERON,,,23,CAMERON,22,LA,29.77773,-93.34395,"TAKE MONKEY ISLAND FERRY, OFF HWY 82",,,Retired,,0,8,0,0,0,0,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
179,,MERMENTAU RIVER AREA,,GRAND CHENIER,,,23,CAMERON,22,LA,29.77833,-93.0145,"NEAR GRAND CHENIER HWY 82, MERMENTEU RVR.",,,Active,,0,10,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
181,,BURNS POINT RECREATIONAL AREA,,BURN'S POINT,,,101,ST. MARY,22,LA,29.575,-91.5283,"S. END OF 317 OUT OF CENTERVILLE, CALL PRIOR",ISAAC LUKE,3188369784,Active,,0,30,0,0,2,30,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
182,,PIP'S PLACE,6405 HOPEDALE HWY,HOPEDALE,70085,,87,ST. BERNARD,22,LA,29.81407,-89.6431,"HWY 624, TURN RIGHT AFTER BRIDGE, 3 MILES ON LEFT",DIANE,5046763747,Retired,,0,40,0,0,1,20,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
183,,BAYOU BIENVENUE MARINA,2001 PARIS RD.,NEW ORLEANS,70129,7801,71,ORLEANS,22,LA,29.98203,-89.9444,ON LEFT 0.25 MILES FROM THE PARIS ROAD BRIDGE; TURN LEFT AT BAYOU BIENVENUE BRIDGE NEXT TO PARADISE CASINO,JIMMY DIXON,5042773755,Active,,0,50,0,0,2,50,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NA,N/A,YES
222,,BANK ALONG HWY 1 ROADSIDE,,FOURCHON,,,51,JEFFERSON,22,LA,29.15833,-90.17832,FROM HWY 3090 TO CAMINADA PASS (SHOULDER OF HWY 1 FOURCHON TO GI BRIDGE),,,Active,,0,0,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
224,,WILLIAMS BLVD BOAT RAMP,,KENNER,,,51,JEFFERSON,22,LA,30.0409,-90.23855,END OF Williams BLVD AT LAKE PONCHARTRAIN OVER LEVEE NEXT TO CASINO,,,Active,,0,81,0,0,5,68,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
227,,LOMBARD'S,19945 HWY 90,NEW ORLEANS,70129,,71,ORLEANS,22,LA,30.07037,-89.83713,HWY 90 2 MI E OF HWY 11 & HWY 90 JUNCTION,AL LOMBARD,5042540174,Retired,,0,20,0,0,2,10,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
230,,MELANCON'S LAUNCH,,PORT FOURCHON,,,57,LAFOURCHE,22,LA,29.115,-90.19167,HWY 3090 & LUMCON RD,,,Active,,0,25,0,0,2,25,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
231,,ROADSIDE ALONG SHOULDER OF HWY 1,,PORT FOURCHON,,,57,LAFOURCHE,22,LA,29.24498,-90.20663,BETWEEN LEEVILLE AND FOURCHON,,,Active,,0,0,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
232,,DELTA MARINA,,EMPIRE,,,75,PLAQUEMINES,22,LA,29.38497,-89.60208,"ON NORTH BANK OF EMPIRE CANAL, OLD HWY 23 & BRIDGE NEXT TO EMPIRE SHIPYARD",JIMMY & SONNY,5046579726,Active,,10,30,5,0,1,30,NO,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NA,N/A,YES
233,,CAMERON SHIP CHANNEL,,CAMERON,,,23,CAMERON,22,LA,29.8,-93.35,"HWY 82, FERRY LANDING CROSSING",,,Active,,0,10,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
238,,FORT PIKE STATE PARK-PUBLIC LAUNCH,27100 CHEF MENTEUR HWY,NEW ORLEANS,70129,3106,71,ORLEANS,22,LA,30.16673,-89.73723,OFF US HWY 90 WEST SIDE OF RIGOLETS BRIDGE,,5042559171,Active,,0,5,0,0,1,8,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
239,,CHEF HARBOR,20848 CHEF MENTEUR,NEW ORLEANS,70129,2560,71,ORLEANS,22,LA,30.07142,-89.80092,"HWY 90, 1/2 MI EAST OF CHEF PASS AND BRIDGE",LOUIS VIAVANT,,Active,,0,60,0,0,2,30,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NA,N/A,NO
244,,POINTE AUX CHENES MARINA,4266 Hwy 665,POINT AU CHENES,70377,2427,109,TERREBONNE,22,LA,29.41602,-90.44765,END OF HWY 665,BARRY FANGUY,9855944654,Active,,11,112,0,0,2,56,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,INLAND,MAN-MADE,YES
255,,PIRATES' COVE MARINA,,GRAND ISLE,,,51,JEFFERSON,22,LA,29.26332,-89.95663,"END OF LA 1, 1/2 MI E. OF STATE PK.",EARL & PATTY,5047873880,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,,NO,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
256,,GRAND ISLE STATE PARK FISHING PIER,,GRAND ISLE,,,51,JEFFERSON,22,LA,29.26,-89.95,"EAST END OF GRAND ISLE, TURN RIGHT AT SIGN",RANGER RESWEBER,5047872559,Active,,0,150,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,OCEAN,MAN-MADE,NO
257,,FORT JACKSON,,VENICE,,,75,PLAQUEMINES,22,LA,29.353,-89.45833,"HWY 23, OVER MISS. RIVER LEVEE AT FRT. JACKSON",,,Active,,0,5,3,0,1,5,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
262,,INTERSTATE 210 BEACH LAUNCH,2937 Kiwanis Lane,LAKE CHARLES,70605,1000,19,CALCASIEU,22,LA,30.1961,-93.27118,BELOW I-210 BRIDGE INSIDE LA FLEUR PARK; EAST SIDE,PARISH POLICE,3374913600,Active,,0,15,0,0,1,15,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
266,,LAKE CHARLES CIVIC CENTER SEAWALL,,LAKE CHARLES,,,19,CALCASIEU,22,LA,30.22167,-93.21667,SEAWALL W OF CIVIC CENTER; E SIDE OF CALCASIEU LAKE,,3184911256,Active,,0,20,0,0,0,0,NO,NO,YES,NO,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,INLAND,MAN-MADE,NO
268,,GRAND ISLE BEACH AREA,,GRAND ISLE,,,51,JEFFERSON,22,LA,29.20332,-90.03667,SOUTH SIDE OF ISLE,,,Active,,0,25,0,0,0,25,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OCEAN,BOTH,NO
269,,BOUDREAUX'S WATERFRONT MOTEL,24214 Hwy 1,LEEVILLE,70357,5326,57,LAFOURCHE,22,LA,29.25638,-90.21612,"HWY 1, ON RIGHT SIDE OF HWY",MR. BOUDREAUX,9853962215,Active,,5,6,0,0,1,30,NO,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NA,N/A,NO
270,,CYPREMORT POINT STATE PARK,,CYPREMORT POINT,,,101,ST. MARY,22,LA,29.71158,-91.87995,"SOUTH OF PUBLIC BOAT LAUNCH, OFF HWY 319",LOUIS GEERTS,3188674510,Retired,,6,100,0,0,0,0,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO,INLAND,BOTH,NO
272,,I-10 BRIDGE LAUNCH,,LAKE CHARLES,,,19,CALCASIEU,22,LA,30.2375,-93.23882,"UNDER I-10 BRIDGE, EAST BANK, ON N LAKE RD.",Parish Police,3374913600,Active,,0,15,0,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,INLAND,BOTH,NO
274,,SERIGNE'S BOAT LAUNCH,5933 Delacroix Hwy (Hwy 300),DELACROIX,70085,4689,87,ST. BERNARD,22,LA,29.76458,-89.7918,"Take Hwy300 West. Marina is on left, 6.5 miles past Hwy 46 to Breton Sound",LIONEL and Jean Serigne,5042650007,Active,,0,150,0,0,1,75,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NA,N/A,NO
275,,COURTHOUSE PIER,Hwy 90,GULFPORT,39507,,47,HARRISON,28,MS,30.37695,-89.04403,HWY 90 AT COURTHOUSE ROAD,,,Active,,0,30,0,0,2,49,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
276,,TITE'S PLACE,,SLIDELL,,,103,ST. TAMMANY,22,LA,30.21803,-89.82318,"HWY 11, ON N. SHORE OF BRIDGE NEXT TO COUSIN'S",LAWRENCE & IKE,5046494339,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
276,,Colliseum Pier,Beach Blvd,Biloxi,39531,,47,HARRISON,28,MS,30.38833,-88.97333,South of Hwy 90 (Beach Blvd) across from the Coiliseum,,,Retired,,0,8,0,0,0,0,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
277,,END OF THE WORLD MARINA,,DELACROIX,,,87,ST. BERNARD,22,LA,29.75885,-89.78307,"END OF HWY 300, 1/2 MI PAST SERIGNE'S",JODY & KATHY LOVELL,5046843442,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NA,N/A,NO
287,,FISHERMAN'S PARADISE,,NEW ORLEANS,,,71,ORLEANS,22,LA,30.01667,-89.96667,"ON PARIS ROAD, BETW. EDDIES & BAYOU BIEN VENUE MRN.",,,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
297,,LACOMBE BOAT RAMP,HWY 434,LACOMBE,,,103,ST. TAMMANY,22,LA,30.26853,-89.95588,HWY 434 AND LK. PONTCHARTRAIN 3 MI S. OF HWY 190,,,Active,,0,30,0,0,1,30,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
298,,HACKBERRY SHELL PILE AREA & BOAT RAMP,,HACKBERRY,,,23,CAMERON,22,LA,29.98763,-93.3375,"1/2 MILE E. OF HWY 27, N. ON CHANNEL VIEW DR.",,,Active,,0,5,2,0,1,10,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
299,,COCHIARAS MARINA,,LAFITTE,,,51,JEFFERSON,22,LA,29.69167,-90.09667,"HWY 45, MARINA IS BEFORE BRIDGE",JACKIE,5046893701,Active,,3,13,5,0,2,13,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
300,,MADISONVILLE RAMP,,MADISONVILLE,,,103,ST. TAMMANY,22,LA,30.37852,-90.1611,2 MI S. OF HWY 22 on HWY 1077 at LAKE PONTCHARTRAIN,,,Active,,0,50,0,0,2,50,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NA,N/A,NO
301,,FISHERMAN'S LAUNCH,,DELACROIX,,,87,ST. BERNARD,22,LA,29.76497,-89.7918,"NEXT TO SERIGNE'S LAUNCH, HWY 300 CLOSED",,,Retired,,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NA,N/A,NO
304,,PASS MANCHAC RAMP,HWY 51S,MANCHAC,,,105,TANGIPAHOA,22,LA,30.30768,-90.40587,HWY I-55 TO PASS MANCHAC EXIT-from ramp turn north 0.5 miles on HWY 51,,,Active,,0,100,0,0,2,100,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,NA,N/A,NO
305,,HEBERT'S LANDING,,GRAND LAKE,,,23,CAMERON,22,LA,30.02938,-93.27493,"HWY 384 S., take Hwy 1144, turn on Herbert Camp Rd. on Big Pasture Rd. at end",RUSSELL FAULK,3185982001,Active,,42,6,8,0,1,20,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NA,N/A,NO
306,,SEABROOK LAUNCH & PIER,,NEW ORLEANS,,,71,ORLEANS,22,LA,30.03153,-90.03693,NEXT TO N.O. LAKEFRONT AIRPORT W. SIDE OF INDUSTRIAL CANAL,,,Active,,0,13,0,0,3,13,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,BOTH,NO
307,,ISLE JEAN CHARLES RD,,POINTE AU CHENES,,,109,TERREBONNE,22,LA,29.42012,-90.47402,"ISLAND ROAD. GO WEST OFF HWY 665, 1/2 MILE FROM END",,,Active,,0,12,0,0,1,6,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,INLAND,MAN-MADE,NO
311,,CYPRESS COVE MARINA,,VENICE,,,75,PLAQUEMINES,22,LA,29.25065,-89.36165,"END OF COAST GUARD RD, OFF HWY 23",CAPT MIKE & BRANDY,5045349289,Active,,50,115,15,0,2,50,NO,YES,YES,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,NO,NA,N/A,YES
316,,SAND DOLLAR MARINA,,GRANDE ISLE,,,51,JEFFERSON,22,LA,29.26167,-89.96167,EAST END OF ISLAND; END OF HWY 1,MANAGER,5047872500,Active,,75,50,3,0,1,50,NO,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,INLAND,MAN-MADE,YES
317,,MORAN'S MARINA,,PORT FOURCHON,,,57,LAFOURCHE,22,LA,29.15833,-90.17832,HWY 1 AND HWY 3090,CHRIS MORAN,5043962727,Active,,15,150,6,0,0,0,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,YES,YES,NO,YES,YES,NO,NA,N/A,YES
318,,REGGIO MARINA,,REGGIO,70085,,87,ST. BERNARD,22,LA,29.82345,-89.75608,"HWY 300, 1 MILE PAST HWY 46",MIKE TURGEAU,5046843750,Active,,0,60,0,0,2,30,NO,NO,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NA,N/A,NO
